Date,AOD,RD, Difference
170912,0.215,9.44,9.11
171007,0.175,9.63,9.63
171026,0.215,9.65,8.01
171027,0.185,9.18,9.01
171106,0.295,9.83,9.83
171107,0.305,9.89,0.05
171113,0.145,9.45,8.91
171114,0.255,9.94,7.09
171115,0.265,9.07,9.07
171116,0.305,9.6,9.6
171118,0.285,9.11,9.11
171120,0.225,9.44,7.84
171121,0.265,9.26,9.26
171123,0.215,9.71,9.71
171125,0.315,9.23,9.22
171127,0.215,9.98,9.98
171128,0.265,9.97,9.97
171129,0.345,9.4,9.37
171130,0.375,9.04,9.04
171201,0.265,9.85,9.85
171204,0.355,9.9,9.68
171206,0.345,8.98,8.98
171211,0.315,9.61,9.6
171213,0.355,9.51,9.51
171215,0.135,9.41,9.26
171218,0.165,9.9,9.36
171222,0.215,9.8,9.79
171223,0.565,9.78,9.18
171224,0.425,9.21,9.21
171225,0.595,9.47,9.07
171227,0.635,9.09,8.9
171229,0.555,9.26,9.23
180105,0.575,9.55,9.41
180107,0.325,9.64,9.64
180110,0.315,9.51,9.51
180112,0.355,9.88,9.87
180114,0.345,9.58,9.58
180115,0.405,9.1,9.02
180202,0.235,9.24,9.07
180215,0.145,9.93,9.93
180216,0.205,9.29,9.29
180218,0.315,9.9,9.9
180303,0.425,9.85,9.63
180320,0.375,9.53,9.53
180529,0.195,9.76,9.12
